perturbation,normal_atom_number,normal_atom_list,normal_atom_enum,normal_atom_bool,normal_atom_object_short,normal_single_turn_single_function,normal_similar_api,normal_atom_object_deep,normal_single_turn_parallel_function,normal_multi_turn_user_adjust,normal_multi_turn_user_switch,agent_multi_step,normal_preference,agent_multi_turn
no_perturbation,0.92,0.86,0.82,0.84,0.74,0.75,0.72,0.66,0.68,0.68,0.66,0.65,0.58,0.4
reward_cd,0.88,0.84,0.88,0.82,0.84,0.77,0.76,0.72,0.63,0.66,0.64,0.65,0.54,0.4666666666666667
action_b,0.88,0.86,0.86,0.8,0.84,0.78,0.74,0.72,0.69,0.62,0.62,0.65,0.52,0.5
obs_tool_desc,0.9,0.86,0.82,0.82,0.74,0.77,0.68,0.68,0.65,0.68,0.66,0.75,0.6,0.43333333333333335
reward_cd_nt,0.88,0.82,0.86,0.86,0.84,0.76,0.76,0.72,0.64,0.66,0.64,0.6,0.52,0.43333333333333335
reward_td,0.88,0.88,0.84,0.86,0.84,0.74,0.74,0.7,0.65,0.64,0.64,0.65,0.52,0.36666666666666664
reward_td_nt,0.88,0.88,0.84,0.86,0.84,0.75,0.76,0.72,0.65,0.64,0.64,0.6,0.52,0.36666666666666664
obs_param_desc,0.94,0.78,0.8,0.84,0.74,0.74,0.7,0.68,0.69,0.68,0.6,0.75,0.56,0.4
action_a,0.9,0.88,0.86,0.8,0.84,0.72,0.74,0.7,0.69,0.68,0.6,0.65,0.52,0.3
action_e,0.86,0.84,0.88,0.8,0.8,0.75,0.72,0.68,0.68,0.62,0.62,0.6,0.5,0.4
action_d,0.88,0.82,0.86,0.84,0.8,0.76,0.76,0.7,0.69,0.62,0.64,0.5,0.5,0.36666666666666664
action_redundant,0.92,0.86,0.82,0.78,0.72,0.77,0.72,0.62,0.63,0.7,0.58,0.65,0.58,0.36666666666666664
transition,0.88,0.86,0.76,0.8,0.72,0.75,0.68,0.68,0.68,0.66,0.62,0.6,0.6,0.3333333333333333
action_c,0.9,0.82,0.88,0.84,0.76,0.72,0.72,0.7,0.67,0.62,0.64,0.4,0.48,0.43333333333333335
reward_td_ab,0.92,0.86,0.84,0.78,0.74,0.73,0.7,0.58,0.64,0.6,0.62,0.4,0.56,0.26666666666666666
reward_cd_ab,0.9,0.84,0.82,0.76,0.78,0.73,0.72,0.54,0.61,0.64,0.6,0.3,0.56,0.3333333333333333
obs_typos,0.88,0.76,0.76,0.74,0.66,0.73,0.7,0.62,0.69,0.58,0.66,0.45,0.52,0.3333333333333333
obs_paraphrase,0.86,0.66,0.72,0.68,0.8,0.7,0.64,0.62,0.59,0.56,0.62,0.45,0.54,0.3333333333333333
