perturbation,agent_multi_step,normal_atom_enum,normal_atom_number,normal_atom_list,normal_single_turn_single_function,normal_atom_object_short,normal_atom_bool,normal_atom_object_deep,normal_single_turn_parallel_function,normal_similar_api,normal_multi_turn_user_switch,normal_multi_turn_user_adjust,agent_multi_turn,normal_preference
no_perturbation,0.95,0.9,0.86,0.82,0.79,0.8,0.74,0.7,0.69,0.7,0.66,0.66,0.4666666666666667,0.5
reward_td,0.9,0.9,0.92,0.86,0.8,0.82,0.72,0.78,0.66,0.72,0.66,0.62,0.6,0.52
reward_cd_nt,0.9,0.88,0.9,0.84,0.79,0.78,0.72,0.72,0.68,0.72,0.68,0.64,0.6666666666666666,0.54
reward_cd,0.9,0.9,0.86,0.84,0.8,0.82,0.68,0.78,0.69,0.72,0.68,0.62,0.5666666666666667,0.5
reward_td_nt,0.85,0.88,0.92,0.84,0.8,0.82,0.72,0.78,0.65,0.7,0.68,0.64,0.5,0.5
obs_param_desc,0.95,0.88,0.86,0.8,0.77,0.76,0.78,0.7,0.67,0.7,0.64,0.62,0.6333333333333333,0.5
action_a,1.0,0.9,0.88,0.82,0.77,0.78,0.68,0.7,0.71,0.68,0.64,0.6,0.5666666666666667,0.48
action_b,1.0,0.88,0.86,0.84,0.77,0.76,0.68,0.7,0.69,0.66,0.64,0.62,0.5333333333333333,0.48
transition,0.9,0.86,0.78,0.78,0.79,0.74,0.72,0.7,0.63,0.66,0.66,0.62,0.7,0.5
action_e,0.95,0.9,0.86,0.82,0.77,0.7,0.68,0.66,0.69,0.64,0.62,0.62,0.6,0.5
obs_tool_desc,0.95,0.88,0.86,0.8,0.77,0.78,0.7,0.7,0.67,0.66,0.66,0.62,0.4666666666666667,0.48
action_redundant,0.85,0.88,0.82,0.86,0.75,0.82,0.68,0.66,0.68,0.68,0.62,0.6,0.5666666666666667,0.48
action_c,0.9,0.88,0.86,0.84,0.77,0.68,0.66,0.64,0.68,0.64,0.6,0.62,0.6333333333333333,0.48
action_d,0.95,0.88,0.86,0.8,0.75,0.76,0.68,0.64,0.67,0.62,0.6,0.58,0.5,0.5
reward_td_ab,0.9,0.88,0.86,0.78,0.77,0.74,0.68,0.68,0.62,0.62,0.62,0.64,0.43333333333333335,0.56
reward_cd_ab,0.75,0.9,0.82,0.82,0.76,0.78,0.66,0.66,0.65,0.62,0.64,0.68,0.4666666666666667,0.52
obs_typos,0.8,0.88,0.86,0.74,0.79,0.7,0.76,0.72,0.64,0.66,0.6,0.6,0.4,0.5
obs_paraphrase,0.75,0.8,0.82,0.66,0.68,0.76,0.66,0.64,0.61,0.58,0.54,0.58,0.43333333333333335,0.48
